components,quantile,accuracy,recall,precision,f1,time
1,0.0001,0.508130081300813,0.016260162601626018,1.0,0.032,7.78125
1,0.001,0.573170731707317,0.14634146341463414,1.0,0.2553191489361702,8.171875
1,0.01,0.9145141624460702,0.8333333333333334,0.5726256983240223,0.6788079470198676,8.1875
1,0.1,0.9121773931582873,0.9186991869918699,0.06314613020396759,0.11816993464052288,8.296875
3,0.01,0.9186073404065498,0.8414634146341463,0.5782122905027933,0.6854304635761589,216.34375
3,0.0001,0.508130081300813,0.016260162601626018,1.0,0.032,216.515625
3,0.001,0.573170731707317,0.14634146341463414,1.0,0.2553191489361702,216.53125
3,0.1,0.9060376262175678,0.9065040650406504,0.062307907236658286,0.1166013071895425,216.640625
2,0.1,0.9080842151978076,0.9105691056910569,0.06258731489242805,0.11712418300653595,249.421875
2,0.01,0.9186073404065498,0.8414634146341463,0.5782122905027933,0.6854304635761589,249.984375
2,0.0001,0.508130081300813,0.016260162601626018,1.0,0.032,249.90625
2,0.001,0.573170731707317,0.14634146341463414,1.0,0.2553191489361702,249.671875
4,0.0001,0.508130081300813,0.016260162601626018,1.0,0.032,384.671875
4,0.01,0.9206539293867897,0.8455284552845529,0.5810055865921788,0.6887417218543047,386.1875
4,0.001,0.573170731707317,0.14634146341463414,1.0,0.2553191489361702,394.765625
4,0.1,0.8958046813163687,0.8861788617886179,0.06091086895780944,0.11398692810457517,410.453125
5,0.1,0.9039910372373279,0.9024390243902439,0.06202849958088852,0.11607843137254902,1324.140625
5,0.0001,0.508130081300813,0.016260162601626018,1.0,0.032,1328.890625
7,0.001,0.573170731707317,0.14634146341463414,1.0,0.2553191489361702,1113.890625
5,0.001,0.573170731707317,0.14634146341463414,1.0,0.2553191489361702,1335.4375
7,0.01,0.867442615900554,0.7398373983739838,0.5083798882681564,0.6026490066225165,1115.625
6,0.001,0.5711241427270772,0.14227642276422764,0.9722222222222222,0.24822695035460995,1327.6875
6,0.0001,0.5101626016260162,0.02032520325203252,1.0,0.0398406374501992,1328.015625
7,0.0001,0.508130081300813,0.016260162601626018,1.0,0.032,1116.953125
