degree,gamma,nu,accuracy,recall,precision,f1,time
2,0.5,0.3,0.3569135429677313,0.012195121951219513,0.0002828320920147073,0.0005528425320187966,77001.328125
2,0.03,0.9,0.19001880395843915,0.2804878048780488,0.002151476411711515,0.0042701983476189,131211.421875
2,2.0,0.0001,0.5016667352942522,0.0040650406504065045,0.037037037037037035,0.007326007326007326,98.25
2,2.0,0.001,0.5013712935384841,0.0040650406504065045,0.020833333333333332,0.006802721088435374,272.765625
2,2.0,0.005,0.49941575048839965,0.0040650406504065045,0.0053475935828877,0.004618937644341802,1330.734375
2,2.0,0.007,0.49833246405058307,0.0040650406504065045,0.003787878787878788,0.00392156862745098,1828.203125
2,2.0,0.01,0.4968693239267789,0.0040650406504065045,0.002717391304347826,0.003257328990228013,2514.359375
2,2.0,0.02,0.4917905394585741,0.0040650406504065045,0.0013717421124828531,0.0020512820512820513,4901.453125
2,0.03,0.7,0.20615086173371583,0.11382113821138211,0.0011217948717948717,0.0022216932476394505,161673.546875
2,2.0,0.05,0.4778907082824345,0.0040650406504065045,0.0005824111822947001,0.0010188487009679063,23545.765625
2,0.5,0.5,0.2773231581499833,0.052845528455284556,0.0007336757153338225,0.0014472585583078206,118814.328125
2,1.0,0.3,0.3569135429677313,0.012195121951219513,0.0002828320920147073,0.0005528425320187966,76255.453125
2,2.0,0.1,0.4531017381079832,0.0040650406504065045,0.0002874389192296637,0.0005369127516778524,26580.703125
2,0.5,0.9,0.19003287261347573,0.2804878048780488,0.0021515434985968193,0.0042703304864463425,131351.65625
3,0.001,0.0001,0.33424116191077496,0.6626016260162602,0.004592325463458613,0.009121432568550645,24.109375
3,0.001,0.001,0.2541476225116781,0.45528455284552843,0.003316749585406302,0.006585523607926148,126.25
3,0.001,0.005,0.1534173106221777,0.08536585365853659,0.0007583965330444204,0.0015034364261168384,973.734375
3,0.001,0.007,0.19970364320975792,0.22357723577235772,0.0018741906903836979,0.003717220870505542,1169.28125
3,0.001,0.01,0.24921650173170273,0.3130081300813008,0.0026527026561477245,0.005260820551361323,1595.796875
3,0.001,0.02,0.21062435089742007,0.2601626016260163,0.0021419726229124133,0.004248962655601659,3118.59375
1,2.0,0.05,0.3759252142324462,0.24796747967479674,0.0034476911773017576,0.006800825018116952,552426.03125
3,0.001,0.05,0.2081422055075925,0.17886178861788618,0.0016208649524791865,0.0032126168224299065,10120.03125
2,0.5,0.7,0.20615086173371583,0.11382113821138211,0.0011217948717948717,0.0022216932476394505,160692.9375
2,1.0,0.5,0.2773231581499833,0.052845528455284556,0.0007336757153338225,0.0014472585583078206,118412.8125
3,0.001,0.1,0.16669651966637844,0.1016260162601626,0.0009148126463700235,0.0018133023863059405,18644.359375
2,2.0,0.3,0.3569135429677313,0.012195121951219513,0.0002828320920147073,0.0005528425320187966,76283.046875
3,0.01,0.0001,0.31794336851640886,0.012195121951219513,0.00022426553038797938,0.00044043162299053077,2664.359375
3,0.01,0.001,0.48289171482035587,0.008130081300813009,0.0013271400132714001,0.0022818026240730175,5591.484375
3,0.01,0.005,0.5004560303059418,0.012195121951219513,0.007425742574257425,0.00923076923076923,5297.484375
3,0.01,0.007,0.5001887258602468,0.012195121951219513,0.0070921985815602835,0.008968609865470852,5813.125
2,1.0,0.9,0.19003287261347573,0.2804878048780488,0.0021515434985968193,0.0042703304864463425,130348.421875
3,0.01,0.02,0.4924443315901927,0.008130081300813009,0.0024154589371980675,0.0037243947858472994,12690.921875
3,0.01,0.01,0.4981628395349795,0.012195121951219513,0.005291005291005291,0.007380073800738007,22265.984375
2,1.0,0.7,0.20615086173371583,0.11382113821138211,0.0011217948717948717,0.0022216932476394505,154879.375
3,0.01,0.05,0.4777847930420779,0.008130081300813009,0.0010695187165775401,0.001890359168241966,16882.546875
2,2.0,0.5,0.2773231581499833,0.052845528455284556,0.0007336757153338225,0.0014472585583078206,116623.890625
3,0.001,0.3,0.16982216304999292,0.07723577235772358,0.0007242785804139824,0.0014350995128214813,84078.78125
3,0.01,0.1,0.4566106665568625,0.016260162601626018,0.0010911074740861974,0.0020449897750511245,31043.34375
2,2.0,0.9,0.19003287261347573,0.2804878048780488,0.0021515434985968193,0.0042703304864463425,131496.75
3,0.02,0.0001,0.47272007722890963,0.008130081300813009,0.0008968609865470852,0.0016155088852988692,15661.109375
3,0.02,0.001,0.5007167007517008,0.008130081300813009,0.008333333333333333,0.008230452674897118,7806.90625
3,0.02,0.005,0.5015252480887217,0.012195121951219513,0.009146341463414634,0.010452961672473868,5845.609375
2,2.0,0.7,0.20615086173371583,0.11382113821138211,0.0011217948717948717,0.0022216932476394505,153151.375
3,0.02,0.01,0.49930240059294234,0.012195121951219513,0.006172839506172839,0.00819672131147541,6902.5625
3,0.02,0.02,0.4929367345164729,0.008130081300813009,0.0025220680958385876,0.0038498556304138597,8792.390625
3,0.001,0.9,0.18337919943633876,0.27235772357723576,0.0020773905494232917,0.004123330666502554,108919.234375
3,0.02,0.05,0.47813650941799235,0.008130081300813009,0.001084010840108401,0.001912960306073649,18301.578125
3,0.01,0.3,0.35943103156411416,0.02032520325203252,0.00046646142364026495,0.0009119927040583675,82360.265625
3,0.02,0.007,0.500582648201271,0.012195121951219513,0.007594936708860759,0.0093603744149766,42112.25
3,0.02,0.1,0.45672321579715514,0.016260162601626018,0.0010934937124111536,0.002049180327868852,30422.015625
3,0.001,0.5,0.17521045792900247,0.07723577235772358,0.0007350096711798839,0.0014561618638871858,156230.546875
3,0.001,0.7,0.17686072260272406,0.10569105691056911,0.0009719262831296027,0.0019261399414749788,169417.140625
3,0.03,0.005,0.5017222092592338,0.012195121951219513,0.009554140127388535,0.010714285714285713,5944.984375
3,0.01,0.5,0.27588815533625227,0.052845528455284556,0.0007294764603557601,0.0014390878397077546,115497.140625
3,0.01,0.9,0.18623513640876418,0.27235772357723576,0.002090548847077912,0.004149249109769314,105110.53125
3,0.03,0.007,0.5006951974415635,0.012195121951219513,0.007751937984496124,0.00947867298578199,13307.828125
3,0.03,0.01,0.4994008811781984,0.012195121951219513,0.006263048016701462,0.008275862068965517,8725.484375
3,0.03,0.001,0.501110623092725,0.008130081300813009,0.009433962264150943,0.008733624454148471,43915.71875
3,0.03,0.0001,0.49971782624410377,0.008130081300813009,0.006430868167202572,0.00718132854578097,47970.078125
3,0.01,0.7,0.20483584281537806,0.10975609756097561,0.0010839890798137145,0.0021467758606980997,126385.5
3,0.03,0.02,0.4929508031715095,0.008130081300813009,0.0025252525252525255,0.0038535645472061657,10930.375
3,0.02,0.3,0.35943103156411416,0.02032520325203252,0.00046646142364026495,0.0009119927040583675,83014.34375
3,0.03,0.05,0.4781505780730289,0.008130081300813009,0.0010845986984815619,0.0019138755980861245,19113.0625
3,0.5,0.0001,0.501546751398859,0.008130081300813009,0.011049723756906077,0.00936768149882904,6022.8125
3,0.5,0.001,0.501279446953164,0.008130081300813009,0.01,0.008968609865470854,7038.5
3,0.5,0.005,0.5017784838793802,0.012195121951219513,0.00967741935483871,0.01079136690647482,6458.71875
3,0.5,0.007,0.5007655407167465,0.012195121951219513,0.007853403141361256,0.009554140127388536,7504.1875
3,0.03,0.1,0.45673728445219175,0.016260162601626018,0.0010937927262783702,0.0020497053548552396,32037.0625
3,0.5,0.01,0.49944308714330815,0.012195121951219513,0.0063025210084033615,0.008310249307479225,8295.171875
3,0.5,0.02,0.49297894048158264,0.008130081300813009,0.002531645569620253,0.0038610038610038615,10896.84375
3,0.5,0.05,0.4781646467280655,0.008130081300813009,0.0010851871947911015,0.0019147917663954047,18652.9375
3,0.02,0.5,0.275930361301362,0.052845528455284556,0.0007295992816253227,0.0014393268379096543,116445.28125
3,0.5,0.1,0.4567513531072283,0.016260162601626018,0.0010940919037199124,0.0020502306509482316,31727.390625
3,0.02,0.9,0.18623513640876418,0.27235772357723576,0.002090548847077912,0.004149249109769314,109122.484375
3,1.0,0.0001,0.501546751398859,0.008130081300813009,0.011049723756906077,0.00936768149882904,5916.6875
3,1.0,0.001,0.501279446953164,0.008130081300813009,0.01,0.008968609865470854,7122.125
3,0.02,0.7,0.20482177416034147,0.10975609756097561,0.0010839455618451162,0.0021466905187835423,128916.015625
3,1.0,0.005,0.5017784838793802,0.012195121951219513,0.00967741935483871,0.01079136690647482,6424.296875
3,0.03,0.3,0.35943103156411416,0.02032520325203252,0.00046646142364026495,0.0009119927040583675,85115.765625
3,1.0,0.007,0.5007655407167465,0.012195121951219513,0.007853403141361256,0.009554140127388536,7531.734375
3,1.0,0.01,0.49944308714330815,0.012195121951219513,0.0063025210084033615,0.008310249307479225,8153.421875
3,1.0,0.02,0.49297894048158264,0.008130081300813009,0.002531645569620253,0.0038610038610038615,9764.78125
3,1.0,0.05,0.4781646467280655,0.008130081300813009,0.0010851871947911015,0.0019147917663954047,18223.875
3,0.03,0.9,0.18623513640876418,0.27235772357723576,0.002090548847077912,0.004149249109769314,106976.765625
3,0.03,0.5,0.275930361301362,0.052845528455284556,0.0007295992816253227,0.0014393268379096543,117719.71875
3,0.5,0.3,0.35944510021915077,0.02032520325203252,0.0004665049449524165,0.0009120758847136082,82685.0625
3,1.0,0.1,0.45676542176226487,0.016260162601626018,0.001094391244870041,0.002050756216354781,31337.65625
3,2.0,0.0001,0.501546751398859,0.008130081300813009,0.011049723756906077,0.00936768149882904,5809.09375
3,2.0,0.001,0.501279446953164,0.008130081300813009,0.01,0.008968609865470854,7108.484375
3,2.0,0.005,0.5017784838793802,0.012195121951219513,0.00967741935483871,0.01079136690647482,6442.9375
3,2.0,0.007,0.500779609371783,0.012195121951219513,0.007874015748031496,0.009569377990430622,7756.8125
3,2.0,0.01,0.49944308714330815,0.012195121951219513,0.0063025210084033615,0.008310249307479225,8120.453125
3,0.03,0.7,0.20483584281537806,0.10975609756097561,0.0010839890798137145,0.0021467758606980997,137811.75
3,2.0,0.02,0.49299300913661925,0.008130081300813009,0.0025348542458808617,0.003864734299516908,9798.703125
3,2.0,0.05,0.4781646467280655,0.008130081300813009,0.0010851871947911015,0.0019147917663954047,18061.375
3,0.5,0.5,0.275930361301362,0.052845528455284556,0.0007295992816253227,0.0014393268379096543,116438.46875
3,2.0,0.1,0.45676542176226487,0.016260162601626018,0.001094391244870041,0.002050756216354781,30084.78125
3,1.0,0.3,0.35944510021915077,0.02032520325203252,0.0004665049449524165,0.0009120758847136082,84095.796875
4,0.001,0.0001,0.2324052596181561,0.3048780487804878,0.0025057632554876213,0.004970673029128144,10.328125
4,0.001,0.001,0.20523342529429797,0.21544715447154472,0.0018491382318051777,0.00366680503666805,83.828125
3,0.5,0.9,0.18623513640876418,0.27235772357723576,0.002090548847077912,0.004149249109769314,108178.96875
4,0.001,0.005,0.43425717501406863,0.0,0.0,0.0,408.375
4,0.001,0.007,0.20896276267208366,0.06097560975609756,0.0006559097468188378,0.0012978585334198572,567.53125
4,0.001,0.01,0.16504568309611065,0.15040650406504066,0.0012675139597821247,0.002513843122600809,801.3125
4,0.001,0.02,0.19376907274981586,0.1991869918699187,0.0016957951202630213,0.0033629594042757626,1656.15625
4,0.001,0.05,0.19388665467971505,0.21951219512195122,0.0018234618761396636,0.0036168787675820496,4619.1875
3,0.5,0.7,0.20483584281537806,0.10975609756097561,0.0010839890798137145,0.0021467758606980997,126875.921875
4,0.001,0.1,0.38847033686994153,0.0040650406504065045,0.0001238696890870804,0.00024041351123933166,14022.296875
3,1.0,0.5,0.275930361301362,0.052845528455284556,0.0007295992816253227,0.0014393268379096543,116121.375
3,2.0,0.3,0.35944510021915077,0.02032520325203252,0.0004665049449524165,0.0009120758847136082,83383.9375
4,0.01,0.0001,0.21799586861935022,0.12195121951219512,0.0012290548568151091,0.0024335834516325287,25.328125
4,0.01,0.001,0.24285095003454255,0.09349593495934959,0.0010636330003699593,0.0021033379058070416,146.65625
3,1.0,0.9,0.18623513640876418,0.27235772357723576,0.002090548847077912,0.004149249109769314,106023.3125
4,0.01,0.005,0.3808939658051617,0.008130081300813009,0.00022838871759735068,0.0004442963456625569,1043.734375
4,0.01,0.007,0.4345733194248093,0.0040650406504065045,0.0002085070892410342,0.0003966679888932963,1536.453125
4,0.01,0.01,0.4339120926380901,0.0040650406504065045,0.00020648358455502787,0.0003930045195519748,2241.6875
3,1.0,0.7,0.20483584281537806,0.10975609756097561,0.0010839890798137145,0.0021467758606980997,126362.46875
1,0.5,0.7,0.2806018410493616,0.2601626016260163,0.002569765107408151,0.005089260864379151,1057347.046875
4,0.001,0.3,0.2785362651037878,0.02032520325203252,0.0003036007043536341,0.0005982650314089142,76682.40625
4,0.01,0.05,0.46923848543493873,0.0040650406504065045,0.0004288164665523156,0.0007757951900698217,29126.546875
4,0.01,0.1,0.44966898627905805,0.0040650406504065045,0.00026860059092130003,0.0005039052658100278,24911.0625
3,2.0,0.5,0.275930361301362,0.052845528455284556,0.0007295992816253227,0.0014393268379096543,114303.390625
4,0.02,0.0001,0.49534990918282845,0.0040650406504065045,0.0021008403361344537,0.002770083102493075,89.609375
4,0.02,0.001,0.4905524978153552,0.0040650406504065045,0.0012239902080783353,0.0018814675446848542,244.78125
4,0.02,0.005,0.49810736556999785,0.0040650406504065045,0.0035714285714285713,0.0038022813688212928,1516.71875
4,0.01,0.02,0.4738248669768633,0.0040650406504065045,0.0004985044865403788,0.0008880994671403196,46960.96875
4,0.02,0.007,0.4966301567911571,0.0040650406504065045,0.0025974025974025974,0.003169572107765452,1937.984375
