kernel,bandwidth,quantile,accuracy,recall,precision,f1,time
linear,6.0,0.1,0.9142239821385271,0.9227642276422764,0.06342553785973735,0.11869281045751633,2094.59375
linear,7.0,0.01,0.8551630820191151,0.7154471544715447,0.49162011173184356,0.5827814569536424,2237.53125
linear,7.0,0.0001,0.6500125817240164,0.3008130081300813,0.7254901960784313,0.42528735632183906,2093.96875
linear,8.0,0.001,0.6196513947412968,0.23983739837398374,0.7564102564102564,0.36419753086419754,1212.453125
linear,8.0,0.0001,0.6196513947412968,0.23983739837398374,0.7564102564102564,0.36419753086419754,1146.15625
linear,9.0,0.0001,0.6115775880606302,0.22357723577235772,0.7857142857142857,0.34810126582278483,1178.078125
linear,7.0,0.1,0.9162705711187669,0.926829268292683,0.06370494551550712,0.11921568627450979,1118.921875
linear,8.0,0.01,0.8653960269203143,0.7357723577235772,0.505586592178771,0.5993377483443708,0.6875
linear,8.0,0.1,0.9162705711187669,0.926829268292683,0.06370494551550712,0.11921568627450979,1.296875
linear,9.0,0.1,0.9142239821385271,0.9227642276422764,0.06342553785973735,0.11869281045751633,1193.71875
linear,9.0,0.001,0.6115775880606302,0.22357723577235772,0.7857142857142857,0.34810126582278483,3497.734375
linear,9.0,0.01,0.8817687387622328,0.7682926829268293,0.5279329608938548,0.6258278145695365,1186.921875
cosine,0.5,0.0001,0.7121395336069286,0.7317073170731707,0.01620745542949757,0.03171247357293869,1193.421875
cosine,0.5,0.001,0.7121395336069286,0.7317073170731707,0.01620745542949757,0.03171247357293869,1232.109375
cosine,0.5,0.1,0.7121395336069286,0.7317073170731707,0.01620745542949757,0.03171247357293869,1.40625
cosine,1.0,0.001,0.7475535409546554,0.6991869918699187,0.023164983164983166,0.044844218485204014,68.28125
cosine,0.5,0.01,0.7121395336069286,0.7317073170731707,0.01620745542949757,0.03171247357293869,0.765625
cosine,1.0,0.0001,0.7475535409546554,0.6991869918699187,0.023164983164983166,0.044844218485204014,68.4375
cosine,5.0,0.0001,0.7218045852377488,0.44715447154471544,0.4661016949152542,0.45643153526970953,142.359375
cosine,1.0,0.01,0.7475535409546554,0.6991869918699187,0.023164983164983166,0.044844218485204014,0.640625
cosine,5.5,0.0001,0.7139418083826308,0.43089430894308944,0.49765258215962443,0.46187363834422657,1929.671875
cosine,5.0,0.1,0.9101308041780474,0.9146341463414634,0.06286672254819782,0.11764705882352941,932.546875
cosine,1.0,0.1,0.7475535409546554,0.6991869918699187,0.023164983164983166,0.044844218485204014,141.828125
cosine,5.0,0.001,0.7218045852377488,0.44715447154471544,0.4661016949152542,0.45643153526970953,1247.484375
cosine,5.5,0.001,0.7139418083826308,0.43089430894308944,0.49765258215962443,0.46187363834422657,1000.734375
cosine,5.5,0.01,0.8387903701771964,0.6829268292682927,0.4692737430167598,0.5562913907284769,1046.046875
cosine,5.0,0.01,0.8101381244538388,0.6260162601626016,0.4301675977653631,0.509933774834437,2037.6875
cosine,5.5,0.1,0.9101308041780474,0.9146341463414634,0.06286672254819782,0.11764705882352941,1027.0625
cosine,6.0,0.0001,0.6698594507048053,0.34146341463414637,0.5753424657534246,0.4285714285714286,2064.21875
cosine,6.0,0.001,0.6698594507048053,0.34146341463414637,0.5753424657534246,0.4285714285714286,0.625
cosine,6.0,0.01,0.8408369591574363,0.6869918699186992,0.4720670391061452,0.5596026490066225,1068.34375
cosine,7.0,0.0001,0.6743465510063091,0.34959349593495936,0.7288135593220338,0.4725274725274726,2207.4375
cosine,6.0,0.1,0.9142239821385271,0.9227642276422764,0.06342553785973735,0.11869281045751633,1.078125
cosine,7.0,0.001,0.6743465510063091,0.34959349593495936,0.7288135593220338,0.4725274725274726,0.65625
cosine,8.0,0.001,0.6278236820072196,0.25609756097560976,0.7974683544303798,0.3876923076923077,1161.296875
cosine,7.0,0.1,0.9162705711187669,0.926829268292683,0.06370494551550712,0.11921568627450979,1179.578125
cosine,7.0,0.01,0.8531164930388753,0.7113821138211383,0.4888268156424581,0.5794701986754968,0.640625
cosine,9.0,0.0001,0.5994668780396302,0.1991869918699187,0.8448275862068966,0.3223684210526316,2529.40625
cosine,8.0,0.01,0.8653960269203143,0.7357723577235772,0.505586592178771,0.5993377483443708,0.515625
cosine,9.0,0.001,0.5994668780396302,0.1991869918699187,0.8448275862068966,0.3223684210526316,2529.515625
cosine,8.0,0.1,0.9162705711187669,0.926829268292683,0.06370494551550712,0.11921568627450979,0.953125
cosine,9.0,0.01,0.8756289718215133,0.7560975609756098,0.5195530726256983,0.6158940397350994,2568.96875
cosine,9.0,0.1,0.9142239821385271,0.9227642276422764,0.06342553785973735,0.11869281045751633,1285.671875
